Date,Open,High,Low,Close,Volume
2010-01-04,46.35,47.11,46.26,46.94,1149178
2010-01-05,47.25,48.18,46.96,48.05,1592231
2010-01-06,47.85,48.62,47.78,48.49,1745840
2010-01-07,48.26,51.05,48.25,50.95,3558535
2010-01-08,50.35,54.42,50.1,53.67,4847950
2010-01-11,53.61,55.41,53.5,55.0,3159772
2010-01-12,53.66,53.95,52.84,53.35,3841725
2010-01-13,52.18,53.25,51.36,52.78,2413301
2010-01-14,51.79,53.21,51.27,52.89,1802888
2010-01-15,51.98,52.48,51.38,51.73,2039839
2010-01-19,50.84,52.94,50.59,52.94,1689303
2010-01-20,52.41,52.41,50.62,51.47,2002003
2010-01-21,51.31,51.64,48.98,49.47,2264241
2010-01-22,49.24,49.24,47.74,47.77,2049362
2010-01-25,48.7,49.19,47.28,47.63,1626406
2010-01-26,47.43,48.4,46.82,47.29,2935557
2010-01-27,47.06,47.21,44.84,46.41,3369096
2010-01-28,46.85,46.94,45.13,45.55,1538151
2010-01-29,46.08,46.77,44.98,45.16,2110952
2010-02-01,45.73,46.98,45.55,46.94,2302292
2010-02-02,50.15,52.26,49.12,51.09,8399859
2010-02-03,51.11,53.05,51.02,51.84,3425624
2010-02-04,51.01,51.21,49.82,50.1,2765500
2010-02-05,49.93,50.57,48.89,50.48,3214991
2010-02-08,50.26,51.52,49.93,50.11,2097809
2010-02-09,51.17,52.89,51.0,52.24,2641105
2010-02-10,52.01,52.48,51.46,51.98,2198451
2010-02-11,51.89,55.84,51.89,54.86,4053399
2010-02-12,53.75,56.44,53.08,54.95,4198061
2010-02-16,56.14,57.45,55.95,57.11,3499721
2010-02-17,57.5,57.5,55.96,56.46,2400778
2010-02-18,56.12,57.6,55.84,57.49,1745012
2010-02-19,57.11,58.63,56.89,57.93,1946664
2010-02-22,58.47,58.47,56.96,57.18,1993510
2010-02-23,57.03,57.64,55.27,55.64,2451438
2010-02-24,56.18,56.79,55.52,55.95,2428783
2010-02-25,54.48,56.21,53.86,56.03,2192546
2010-02-26,55.99,57.01,55.17,56.78,1674977
2010-03-01,57.2,59.03,57.2,58.96,2341227
2010-03-02,59.49,59.52,58.73,59.24,3112869
2010-03-03,59.58,60.47,58.88,59.18,2724620
2010-03-04,59.35,60.36,59.1,59.73,2610723
2010-03-05,60.03,60.99,59.75,60.7,2550220
2010-03-08,60.71,60.93,59.72,60.02,2069173
2010-03-09,59.75,61.47,59.5,61.13,2504153
2010-03-10,61.37,61.37,59.54,60.23,4112942
2010-03-11,59.88,59.93,58.56,59.44,2390074
2010-03-12,60.24,60.5,59.65,60.37,2219969
2010-03-15,59.89,60.24,58.94,60.22,2589696
2010-03-16,60.41,61.02,58.99,60.7,3561947
2010-03-17,61.65,61.65,59.96,60.17,3464144
2010-03-18,59.89,60.45,58.86,59.33,3887010
2010-03-19,59.46,60.18,58.06,58.16,3043259
2010-03-22,57.9,60.27,57.65,59.95,1820563
2010-03-23,60.09,62.69,60.09,62.35,3015381
2010-03-24,62.32,63.2,61.76,61.81,3131481
2010-03-25,62.54,63.44,61.52,61.56,2615848
2010-03-26,61.83,63.4,61.63,62.36,1880156
2010-03-29,62.9,63.18,62.43,63.08,2176968
2010-03-30,63.22,63.23,61.58,62.15,2284129
2010-03-31,61.93,62.49,61.61,61.95,2396974
2010-04-01,62.47,63.63,61.96,62.34,2262812
2010-04-05,62.82,65.98,62.82,65.63,3273897
2010-04-06,65.37,65.46,64.9,65.12,2415381
2010-04-07,64.74,65.35,64.21,64.71,2630232
2010-04-08,64.36,65.59,63.75,65.03,3117602
2010-04-09,66.73,66.73,65.61,66.07,3111211
2010-04-12,66.45,66.45,64.92,65.13,2838397
2010-04-13,65.16,66.12,65.03,66.06,1656565
2010-04-14,66.16,67.79,66.1,67.72,2047531
2010-04-15,67.54,67.98,66.44,67.01,2129065
2010-04-16,66.7,67.17,65.0,65.91,2088222
2010-04-19,65.77,66.63,64.56,65.93,1873668
2010-04-20,66.91,69.35,66.81,67.04,3173217
2010-04-21,67.44,67.92,65.95,66.74,2356046
2010-04-22,65.98,68.32,64.78,68.06,1881094
2010-04-23,68.26,69.84,67.57,69.76,2334093
2010-04-26,70.24,71.5,70.01,70.31,2946919
2010-04-27,74.45,76.35,71.99,72.4,9373931
2010-04-28,73.2,74.95,73.07,73.81,4623525
2010-04-29,74.71,76.95,74.22,75.79,4012214
2010-04-30,75.75,76.56,72.05,72.23,3566192
2010-05-03,72.67,74.25,72.6,73.25,2890912
2010-05-04,71.96,72.01,69.33,70.65,5014506
2010-05-05,68.82,71.8,67.3,70.41,4479024
2010-05-06,69.95,72.0,58.91,67.24,8961393
2010-05-07,64.85,68.49,64.57,65.31,6750211
2010-05-10,69.72,72.38,69.6,72.13,4855717
2010-05-11,70.77,72.95,70.6,71.76,2946803
2010-05-12,72.74,75.45,72.52,75.09,2981270
2010-05-13,75.18,76.23,73.65,74.04,2855909
2010-05-14,73.29,73.31,70.68,71.55,4568505
2010-05-17,71.75,72.44,68.71,71.27,4033673
2010-05-18,73.04,73.45,69.51,69.95,2625632
2010-05-19,68.04,69.77,66.51,68.47,3783572
2010-05-20,66.03,66.08,62.0,63.7,7800344
2010-05-21,62.0,66.2,60.36,65.87,4074890
2010-05-24,66.0,66.81,64.07,64.23,2163064
2010-05-25,61.45,65.11,60.5,64.94,4194501
2010-05-26,66.42,68.62,65.54,65.98,3562492
2010-05-27,68.1,69.62,67.73,69.59,2377305
2010-05-28,69.78,70.2,67.02,67.98,3170754
2010-06-01,67.08,69.1,66.05,66.09,1911728
