Date,Open,High,Low,Close,Volume
2010-01-04,313.16,314.44,311.81,313.06,
2010-01-05,313.28,313.61,310.46,311.68,
2010-01-06,312.62,312.62,302.88,303.83,
2010-01-07,304.4,304.7,296.03,296.75,
2010-01-08,295.7,301.32,294.26,300.71,
2010-01-11,301.93,301.93,296.72,300.25,
2010-01-12,298.74,298.78,293.71,294.94,
2010-01-13,287.96,293.9,286.66,293.25,
2010-01-14,291.66,296.8,291.11,294.63,
2010-01-15,295.5,296.48,288.73,289.71,
2010-01-19,290.45,294.91,287.86,293.52,
2010-01-20,292.7,292.7,287.36,289.91,
2010-01-21,291.43,293.12,285.84,291.2,
2010-01-22,281.97,285.01,267.16,274.73,
2010-01-25,273.02,274.66,267.49,269.73,
2010-01-26,268.72,274.53,267.88,270.94,
2010-01-27,270.36,273.55,267.39,270.78,
2010-01-28,271.97,273.23,265.03,266.88,
2010-01-29,268.98,270.22,262.54,264.71,
2010-02-01,267.03,267.64,264.88,266.24,
2010-02-02,267.21,267.21,263.54,265.29,
2010-02-03,264.07,270.78,263.85,270.14,
2010-02-04,268.23,268.73,262.52,263.13,
2010-02-05,263.94,266.48,260.97,265.38,
2010-02-08,265.98,270.73,265.5,266.47,
2010-02-09,269.5,270.49,267.27,267.95,
2010-02-10,266.77,268.63,263.58,266.96,
2010-02-11,265.86,269.97,264.49,267.93,
2010-02-12,266.22,268.31,264.98,266.29,
2010-02-16,268.3,271.79,266.88,270.38,
2010-02-17,270.73,271.43,268.54,268.83,
2010-02-18,268.5,272.23,267.8,271.34,
2010-02-19,270.23,271.74,269.58,270.11,
2010-02-22,273.4,273.48,270.23,271.13,
2010-02-23,271.23,271.54,265.88,267.27,
2010-02-24,266.93,268.95,264.99,265.47,
2010-02-25,263.3,263.98,259.74,262.95,
2010-02-26,263.45,265.61,261.48,263.14,
2010-03-01,264.34,266.38,263.61,266.08,
2010-03-02,267.47,272.56,267.24,270.26,
2010-03-03,270.91,273.79,269.36,272.39,
2010-03-04,272.98,277.79,272.83,277.02,
2010-03-05,280.39,283.55,279.67,281.82,
2010-03-08,282.11,282.31,280.22,280.96,
2010-03-09,279.65,282.05,277.97,279.81,
2010-03-10,281.6,288.96,280.82,287.94,
2010-03-11,286.84,292.81,286.81,290.28,
2010-03-12,293.78,293.84,289.29,289.48,
2010-03-15,283.06,284.44,277.72,281.31,
2010-03-16,280.63,283.93,280.1,282.32,
2010-03-17,283.87,285.44,281.84,282.5,
2010-03-18,282.08,283.94,281.2,282.92,
2010-03-19,282.83,283.72,278.36,279.72,
2010-03-22,277.78,283.14,276.86,278.47,
2010-03-23,278.24,278.88,270.73,274.23,
2010-03-24,272.48,279.64,269.58,278.39,
2010-03-25,279.23,285.71,279.05,281.16,
2010-03-26,282.35,283.41,279.73,281.06,
2010-03-29,281.22,282.08,280.0,280.94,
2010-03-30,281.13,283.53,279.86,283.07,
2010-03-31,282.24,284.59,281.12,283.28,
2010-04-05,285.16,287.15,284.22,285.22,
2010-04-06,284.45,285.16,282.42,283.83,
2010-04-07,283.37,284.09,280.65,281.49,
2010-04-08,281.38,284.64,279.74,283.46,
2010-04-09,283.72,284.1,281.72,282.83,
2010-04-12,283.39,286.71,282.83,286.08,
2010-04-13,285.98,294.15,285.28,293.09,
2010-04-14,294.73,295.87,291.71,294.21,
2010-04-15,295.79,298.62,293.85,297.35,
2010-04-16,281.22,284.12,274.54,274.8,
2010-04-19,274.1,276.72,272.23,274.77,
2010-04-20,276.81,279.55,275.25,277.24,
2010-04-21,277.95,279.84,275.8,276.87,
2010-04-22,275.72,275.97,271.4,273.26,
2010-04-23,273.35,274.39,270.86,272.22,
2010-04-26,272.21,272.22,264.34,265.55,
2010-04-27,264.21,268.9,263.35,264.26,
2010-04-28,265.78,267.15,260.25,264.33,
2010-04-29,266.42,267.98,263.07,265.73,
2010-04-30,265.3,268.57,262.46,262.58,
2010-05-03,262.99,266.19,262.28,265.03,
2010-05-04,263.0,263.11,251.85,252.93,
2010-05-05,250.24,257.6,249.98,254.63,
2010-05-06,254.12,258.5,229.77,249.09,
2010-05-07,249.74,252.41,240.42,246.32,
2010-05-10,256.73,261.15,256.04,260.56,
2010-05-11,257.58,259.68,253.86,254.27,
2010-05-12,255.76,255.76,250.75,252.44,
2010-05-13,257.99,260.74,254.93,255.18,
2010-05-14,254.63,255.24,247.88,253.51,
2010-05-17,253.14,253.93,248.93,253.73,
2010-05-18,254.74,255.23,248.29,248.94,
2010-05-19,247.88,249.47,243.63,246.97,
2010-05-20,242.29,242.55,236.66,237.27,
2010-05-21,234.3,242.26,231.97,235.79,
2010-05-24,240.12,244.65,238.16,238.34,
2010-05-25,233.84,238.49,231.77,238.3,
2010-05-26,240.79,244.64,237.26,237.5,
2010-05-27,242.19,245.91,240.28,244.98,
2010-05-28,246.12,246.48,241.26,242.57,
2010-06-01,239.97,245.28,239.82,240.94,
2010-06-02,243.1,246.69,240.49,246.44,
2010-06-03,247.31,253.75,247.1,252.55,
2010-06-04,249.61,254.37,248.1,249.11,
2010-06-07,249.28,250.2,241.33,242.52,
2010-06-08,243.68,244.18,238.53,242.15,
2010-06-09,243.37,244.2,235.76,236.77,
2010-06-10,239.94,244.01,237.68,243.26,
2010-06-11,241.01,244.11,240.57,244.01,
2010-06-14,246.99,247.0,241.35,241.35,
2010-06-15,241.3,249.95,240.85,248.75,
2010-06-16,247.84,251.75,247.81,250.38,
2010-06-17,251.47,252.68,248.1,249.79,
2010-06-18,251.0,251.48,248.82,249.76,
2010-06-21,249.7,250.23,242.2,244.04,
2010-06-22,244.71,248.05,242.62,242.88,
2010-06-23,243.2,243.2,238.84,240.78,
2010-06-24,239.59,241.13,236.39,237.31,
2010-06-25,238.29,238.58,235.04,236.1,
2010-06-28,236.06,238.54,234.27,235.8,
2010-06-29,231.49,232.04,225.33,226.9,
